08/02/1570	9:00	-36.800	-73.000	8.3	-	-	TD
17/03/1575	10:00	-33.400	-70.600	7.3	-	-	-
16/12/1575	14:30	-39.800	-73.200	8.5	-	-	TD
24/11/1604	12:30	-18.500	-70.400	8.5	-	30	TD
16/09/1615	23:30	-18.500	-70.350	8.8	-	-	TM
13/05/1647	22:30	-35.000	-72.000	8.5	-	-	-
15/03/1657	19:30	-36.830	-73.030	8.0	-	-	TD
12/07/1687	2:00	-32.750	-70.730	7.3	-	-	-
08/07/1730	4:45	-33.050	-71.630	8.7	-	-	TD
25/05/1751	1:00	-36.830	-73.030	8.5	-	-	TM
30/03/1796	6:45	-27.350	-70.350	7.7	-	-	-
11/04/1819	10:00	-27.350	-70.350	8.3	-	-	TD
19/11/1822	22:30	-33.050	-71.630	8.5	-	-	TM
26/09/1829	14:00	-33.050	-71.630	7.0	-	-	-
08/10/1831	6:00	-18.500	-71.000	7.8	-	-	-
18/09/1833	5:45	-18.500	-70.400	7.7	-	60	-
20/02/1835	11:30	-36.830	-73.030	8.5	-	-	TD
07/11/1837	8:00	-39.800	-73.200	8.0	-	-	TM
08/10/1847	11:30	-31.610	-71.180	7.3	-	-	-
17/12/1849	6:00	-29.950	-71.370	7.5	-	-	TM
06/12/1850	6:52	-33.810	-70.220	7.3	-	-	-
02/04/1851	6:48	-33.320	-71.420	7.1	-	-	-
05/10/1859	8:00	-27.350	-70.350	7.6	-	-	TM
13/08/1868	16:45	-18.500	-70.350	8.5	-	-	TD
24/08/1869	13:30	-19.600	-70.230	7.5	-	-	TM
05/10/1871	5:00	-20.200	-70.170	7.3	-	-	T
09/05/1877	21:16	-19.600	-70.230	8.5	-	-	TD
23/01/1878	8:00	-20.000	-70.300	7.9	-	40	-
02/02/1879	6:30	-53.000	-70.670	7.3	-	-	-
15/08/1880	8:48	-31.620	-71.180	7.7	-	-	-
16/08/1906	19:48	-33.000	-72.000	7.9	8.2	25	TM
08/06/1909	1:00	-26.500	-70.500	7.6	-	-	-
04/10/1910	19:00	-22.000	-69.000	7.3	-	-	-
15/09/1911	8:10	-20.000	-72.000	7.3	-	-	-
29/01/1914	23:30	-35.000	-73.000	8.2	-	-	-
14/02/1917	20:48	-30.000	-73.000	7.0	-	-	-
20/05/1918	12:57	-28.500	-71.500	7.9	-	-	-
04/12/1918	7:47	-26.000	-71.000	8.2	-	60	TM
01/03/1919	23:37	-41.000	-73.500	7.2	-	40	-
02/03/1919	7:45	-41.000	-73.500	7.3	-	40	-
10/12/1920	0:25	-39.000	-73.000	7.4	-	-	-
07/11/1922	19:00	-28.000	-72.000	7.0	-	-	-
10/11/1922	23:53	-28.500	-70.000	8.39	8.5	25	TM
04/05/1923	17:47	-28.750	-71.750	7.0	-	60	-
15/05/1925	7:18	-26.000	-71.500	7.1	-	50	-
28/04/1926	7:13	-24.000	-69.000	7.0	-	180	-
21/11/1927	19:17	-44.500	-73.000	7.1	-	-	TM
20/11/1928	16:35	-22.500	-70.500	7.1	-	25	-
01/12/1928	0:06	-35.000	-72.000	8.3	-	-	T
19/10/1929	16:18	-23.000	-69.000	7.5	-	100	-
18/03/1931	4:02	-32.500	-72.000	7.1	-	-	-
23/02/1933	4:09	-20.000	-71.000	7.6	-	40	-
01/03/1936	17:45	-40.000	-72.500	7.1	-	120	-
